x,y,label,meta
3.981071705534969,3.9486,"42 km NW of Toyah, Texas",M 1.4
1412537.5446227526,10,"112 km SW of Bandar Lampung, Indonesia",M 5.1
3.7153522909717243,2.24,"17 km WSW of Tecate, B.C., MX",M 1.4
56.88529308438413,4.45,"126 km WSW of Adak, Alaska",M 2.2
1.4125375446227546,5,"27 km WSW of Ivanof Bay, Alaska",M 1.1
44668.35921509626,404.425,Fiji region,M 4.1
1.4125375446227546,6.01000022888184,"10 km ENE of Healdsburg, CA",M 1.1
16.40589773199539,26.1900005340576,"13 km SSE of Waimea, Hawaii",M 1.8
11.22018454301963,9,"25 km W of Ivanof Bay, Alaska",M 1.7
707.9457843841374,111,"60 km SSW of Skwentna, Alaska",M 2.9
1513.561248436207,24.95,"94 km N of Isabela, Puerto Rico",M 3.1
15848931.92461111,34,"51 km ENE of Noda, Japan",M 5.8
1.2302687708123818,2.36999988555908,"13 km NW of The Geysers, CA",M 1.1
31.622776601683793,52.6,"10 km S of Clam Gulch, Alaska",M 2.0
15.84893192461114,8.7,"23 km WSW of Ivanof Bay, Alaska",M 1.8
501187.23362727143,10,"35 km NNE of El Limón, Venezuela",M 4.8
44.668359215096345,10.5,"27 km E of Cordova, Alaska",M 2.1
11.22018454301963,6.6,"25 km W of Ivanof Bay, Alaska",M 1.7
3.981071705534969,7.4356,"12 km SSW of Jal, New Mexico",M 1.4
95.4992586021435,2.5,"5 km WNW of Cobb, CA",M 2.3
251.18864315095823,0.1,"33 km WNW of Ivanof Bay, Alaska",M 2.6
7.673614893618193,9.63,"6 km NNE of Fontana, CA",M 1.6
11.22018454301963,10.1598,"18 km NW of Three Rivers, Texas",M 1.7
41.68693834703355,-0.670000016689301,"12 km S of Fern Forest, Hawaii",M 2.1
13.803842646028853,32.8800010681152,"21 km SE of Pāhala, Hawaii",M 1.8
2.818382931264455,15.8,"17 km WNW of Ivanof Bay, Alaska",M 1.3
1.3182567385564075,5.87,"11 km NE of Julian, CA",M 1.1
1.2735030810166617,2.47000002861023,"2 km WNW of The Geysers, CA",M 1.1
1.2735030810166617,15.48,"158 km W of Adak, Alaska",M 1.1
1.0351421666793441,2.00999999046326,"1 km SW of Anderson Springs, CA",M 1.0
3467.3685045253164,16.37,"79 km WNW of The Bottom, Bonaire, Saint Eustatius and Saba ",M 3.4
2.818382931264455,7,"58 km WNW of Tyonek, Alaska",M 1.3
31.622776601683793,83.7,"36 km W of Nikiski, Alaska",M 2.0
8.511380382023768,6.5,"11 km ESE of Willits, CA",M 1.6
12.445146117713843,5.6542,"15 km SSW of Alamo, Nevada",M 1.7
89.1250938133745,56.1,"20 km SSW of Point Possession, Alaska",M 2.3
18.197008586099845,32.5099983215332,"6 km NE of Pāhala, Hawaii",M 1.8
354813.389233576,10,"231 km ESE of Attu Station, Alaska",M 4.7
74.98942093324558,9.29,"2 km SE of Pacifica, CA",M 2.3
177.8279410038923,11.4,"25 km WNW of Ivanof Bay, Alaska",M 2.5
3.981071705534969,12.27,"10 km NNW of Pine Mountain Club, CA",M 1.4
1.0715193052376064,2.54999995231628,"13 km NW of The Geysers, CA",M 1.0
7.943282347242822,118.4,"43 km ESE of Pedro Bay, Alaska",M 1.6
139.63683610559391,27.9099998474121,"15 km E of Pāhala, Hawaii",M 2.4
5.623413251903491,7.9168,"12 km SSW of Jal, New Mexico",M 1.5
1.9275249131909358,6.46999979019165,"3 km WSW of Daly City, CA",M 1.2
319.8895109691397,15.28,"60 km ENE of Christiansted, U.S. Virgin Islands",M 2.7
3.3496543915782793,5.92,"6 km SSW of Brawley, CA",M 1.4
2.818382931264455,103.6,"84 km NNW of Karluk, Alaska",M 1.3
7.943282347242822,5.4723,"42 km NW of Toyah, Texas",M 1.6
467.73514128719813,53.03,"7 km NW of Camuy, Puerto Rico",M 2.8
501187.23362727143,10,"Izu Islands, Japan region",M 4.8
1.4125375446227546,22.3,"2 km SW of Lakes, Alaska",M 1.1
15.84893192461114,11.8,"38 km SSW of Cordova, Alaska",M 1.8
15.84893192461114,11.3,"18 km NE of Cantwell, Alaska",M 1.8
1.3182567385564075,10.44,"161 km W of Adak, Alaska",M 1.1
44668359.21509616,199,"43 km S of Jurm, Afghanistan",M 6.1
12.445146117713843,29.8700008392334,"6 km SSE of Pāhala, Hawaii",M 1.7
1.4125375446227546,6.1,"12 km W of Akutan, Alaska",M 1.1
98.8553094656939,5.65000009536743,"14 km S of Volcano, Hawaii",M 2.3
5.623413251903491,110.1,"38 km WNW of Skwentna, Alaska",M 1.5
63095.73444801943,114.836,"41 km SW of Calama, Chile",M 4.2
177827.94100389228,531.393,"200 km ENE of Levuka, Fiji",M 4.5
211.34890398366457,30.0200004577637,"14 km ESE of Pāhala, Hawaii",M 2.5
7.943282347242822,5.5936,"5 km NNW of Lindsay, Texas",M 1.6
89125.09381337442,125.137,"50 km WSW of Ollagüe, Chile",M 4.3
31.622776601683793,89.9,"39 km WNW of Clam Gulch, Alaska",M 2.0
4.4157044735331255,8.86,"1 km SSW of Brawley, CA",M 1.4
1995262.314968883,10,"139 km E of Kirakira, Solomon Islands",M 5.2
4.265795188015925,1.53999996185303,"6 km NW of The Geysers, CA",M 1.4
298.53826189179574,9.64000034332275,"43 km ESE of Naalehu, Hawaii",M 2.6
160.32453906900417,16.3400001525879,"8 km W of North Fork, CA",M 2.5
22387211.38568347,525.542,"192 km N of Metinaro, Timor Leste",M 5.9
125892.54117941688,10,"7 km SSW of Behram, Turkey",M 4.4
1.62181009735893,3.42,"82 km W of Adak, Alaska",M 1.1
125.89254117941663,5.7,"18 km WNW of Ivanof Bay, Alaska",M 2.4
7.943282347242822,6.4,"17 km WNW of Ivanof Bay, Alaska",M 1.6
11.22018454301963,5,"60 km SE of Pedro Bay, Alaska",M 1.7
20.18366363681562,6.03999996185303,"14 km S of Volcano, Hawaii",M 1.9
1.9952623149688788,2.9300000667572,"7 km ENE of Pinnacles, CA",M 1.2
22.38721138568338,5,"25 km WSW of Healy, Alaska",M 1.9
44.668359215096345,47.4,"27 km ENE of Point Possession, Alaska",M 2.1
12.882495516931336,1.75,"14 km SSE of Fern Forest, Hawaii",M 1.7
6.025595860743581,2.69000005722046,"7 km NW of The Geysers, CA",M 1.5
11.22018454301963,72.8,"77 km WSW of Nanwalek, Alaska",M 1.7
30.549211132155126,13.33,"2 km S of Indios, Puerto Rico",M 2.0
1.2735030810166617,2.47000002861023,"12 km ENE of Cloverdale, CA",M 1.1
10.115794542598984,10.0138,"16 km NE of Yerington, Nevada",M 1.7
3.981071705534969,5.1098,"6 km NE of Balmorhea, Texas",M 1.4
1995262.314968883,65.584,"114 km SSW of Trenggalek, Indonesia",M 5.2
1995.262314968883,87.5,"45 km WSW of Anchor Point, Alaska",M 3.2
38.904514499428046,15.79,"6 km SW of Capitanejo, Puerto Rico",M 2.1
177.8279410038923,0.2,"15 km ESE of Denali National Park, Alaska",M 2.5
74.98942093324558,12.05,"5 km SE of Maria Antonia, Puerto Rico",M 2.3
1318.2567385564075,-1.49000000953674,"4 km WSW of Johnsville, CA",M 3.1
3.981071705534969,5,"31 km NNE of Paxson, Alaska",M 1.4
125892.54117941688,119.572,"53 km NNE of Calama, Chile",M 4.4
1.0351421666793441,1.12999999523163,"7 km NW of The Geysers, CA",M 1.0
5.0699070827470445,2.98000001907349,"7 km NW of The Geysers, CA",M 1.5
125.89254117941663,56.7,"11 km S of Clam Gulch, Alaska",M 2.4
3.4673685045253166,4.05999994277954,"9 km ENE of Cloverdale, CA",M 1.4
23.988329190194897,9.57,"19 km SSE of Malibu Beach, CA",M 1.9
32.734069487883794,1.3031,"17 km NNW of Indian Springs, Nevada",M 2.0
15.84893192461114,52.8,"28 km ENE of Point Possession, Alaska",M 1.8
28.510182675039097,12.63,"5 km SSE of Ponce, Puerto Rico",M 2.0
177.8279410038923,16.7,"55 km NW of Tatitlek, Alaska",M 2.5
63095.73444801943,47,"27 km WNW of Hope, Alaska",M 4.2
154.88166189124811,0.0799999982118607,"5 km NNW of Redwood Valley, CA",M 2.5
1.2735030810166617,2.50999999046326,"7 km NW of The Geysers, CA",M 1.1
4.570881896148752,24.46,"9 km S of Dayton, Oregon",M 1.4
1.4125375446227546,35.6,"12 km W of Eureka Roadhouse, Alaska",M 1.1
1.109174815262401,-0.819999992847443,"5 km W of Cobb, CA",M 1.0
3.981071705534969,5.76000022888184,"9 km NNW of Redwood Valley, CA",M 1.4
72.44359600749907,29.82,"58 km W of Oceanside, Oregon",M 2.2
2818.3829312644493,10,off the coast of Oregon,M 3.3
1.9952623149688788,29.6,"45 km ENE of Chenega, Alaska",M 1.2
3981071.7055349858,10,"63 km NNE of Barkhan, Pakistan",M 5.4
4.1209751909733,4.25,"10 km NNW of Redwood Valley, CA",M 1.4
20.892961308540386,35.9700012207031,"22 km S of Leilani Estates, Hawaii",M 1.9
501187.23362727143,79.807,"98 km S of Severo-Kuril’sk, Russia",M 4.8
10.83926914021204,6.69999980926514,"11 km N of Redwood Valley, CA",M 1.7
20.18366363681562,31.2099990844727,"8 km ENE of Naalehu, Hawaii",M 1.9
7.943282347242822,0,"26 km SSE of Balmorhea, Texas",M 1.6
109.64781961431852,12.65,"7 km SSW of Indios, Puerto Rico",M 2.4
1.8620871366628675,3.82999992370605,"5 km SSW of Gilroy, CA",M 1.2
11.22018454301963,3.4,"41 km NNW of Chenega, Alaska",M 1.7
32.734069487883794,1.85,"14 km S of Volcano, Hawaii",M 2.0
5.623413251903491,9.5,"14 km ESE of Julian, CA",M 1.5
707945.7843841389,55,"13 km SSE of Clam Gulch, Alaska",M 4.9
1.62181009735893,18.08,"9 km SW of Idyllwild, CA",M 1.1
2.818382931264455,4.3423,"20 km SE of Midland, Texas",M 1.3
278.61211686297696,6.9,"13 km S of Volcano, Hawaii",M 2.6
5.623413251903491,4.53,"14 km S of Volcano, Hawaii",M 1.5
83.17637711026708,6.39,"13 km S of Volcano, Hawaii",M 2.3
89125.09381337442,10,"48 km NNW of Kohlu, Pakistan",M 4.3
1.6788040181225599,2.15000009536743,"7 km WNW of Cobb, CA",M 1.1
89125.09381337442,113.824,"24 km NE of Calama, Chile",M 4.3
1.4125375446227546,5,"7 km ENE of Fox, Alaska",M 1.1
2.2908676527677723,6.58,"11 km ESE of Willits, CA",M 1.2
2.7227013080779128,6.88000011444092,"11 km ESE of Willits, CA",M 1.3
177.8279410038923,26.4,"5 km WSW of Big Lake, Alaska",M 2.5
